user_id,workflow_id,label
u03001,w0341,0
u00281,w0475,1
u02700,w0301,0
u01451,w0194,0
u09999,w0260,0
u03579,w0487,0
u04456,w0064,0
u02453,w0449,0
u09517,w0458,0
u08037,w0483,0
u08715,w0312,0
u00829,w0364,1
u08703,w0430,0
u08926,w0088,1
u09946,w0223,0
u06015,w0029,0
u00959,w0051,0
u07595,w0371,0
u02767,w0259,0
u01056,w0366,1
u00178,w0339,0
u05331,w0362,0
u01692,w0001,0
u01253,w0183,0
u02462,w0142,0
u03818,w0329,0
u09168,w0476,0
u02512,w0437,0
u05786,w0470,0
u00799,w0476,1
u04162,w0492,0
u00604,w0499,0
u02722,w0219,0
u03535,w0118,0
u01920,w0012,1
u05686,w0114,0
u08120,w0111,0
u03286,w0121,1
u06989,w0385,0
u04990,w0296,0
u05534,w0496,0
u06351,w0340,0
u06090,w0196,0
u02371,w0000,0
u02876,w0436,0
u08760,w0439,0
u03982,w0304,0
u01822,w0296,0
u02763,w0454,0
u00108,w0145,0
u08942,w0484,0
u07180,w0350,1
u02010,w0339,1
u02985,w0257,0
u08425,w0154,1
u08732,w0289,0
u08827,w0293,1
u03763,w0062,0
u05717,w0456,0
u04754,w0209,0
u02425,w0239,0
u04214,w0140,0
u04220,w0387,0
u00989,w0378,0
u05399,w0314,1
u05093,w0100,0
u00955,w0385,0
u07280,w0451,0
u04854,w0226,1
u07903,w0229,0
u01186,w0210,0
u02550,w0140,0
u05001,w0068,0
u04099,w0451,0
u04965,w0262,0
u04359,w0141,0
u06390,w0148,0
u06456,w0242,0
u01721,w0116,0
u06870,w0288,1
u03762,w0495,1
u09646,w0372,0
u08441,w0253,0
u07866,w0027,1
u08468,w0111,0
u01224,w0247,1
u07776,w0459,1
u04877,w0179,1
u03333,w0475,0
u06222,w0424,0
u02195,w0066,0
u02263,w0003,1
u00797,w0151,0
u05324,w0361,0
u04974,w0389,0
u06545,w0211,0
u06728,w0276,0
u04514,w0358,0
u04770,w0028,1
u00971,w0338,0
u04436,w0285,0
u02314,w0101,0
u04821,w0308,1
u07789,w0485,0
u02562,w0384,0
u03329,w0400,0
u01039,w0453,0
u00812,w0223,0
u01276,w0316,0
u02968,w0120,0
u00216,w0018,0
u08193,w0341,0
